Unnamed: 0,레시피일련번호,조리순서,레시피제목,요리명,등록자ID,등록자명,조회수,추천수,스크랩수,요리방법별명,요리상황별명,요리재료별명,요리종류별명,요리소개,요리재료내용,요리인분명,요리난이도명,요리시간명,최초등록일시
0,6852249,"[조리순서]
1.밥은 넓은 접시에 펼쳐 뜨거운 김을 날린다.밥 1공기
2.양념장을 만든다.앙념장: 설탕 2/3큰술, 김칫국물 2큰술, 고추장 2/3큰술, 부순 참깨 1큰술, 들기름 또는 참기름 1큰술
3.중간 불로 달군 팬에 식용유(2큰술)를 두른 뒤 다진 양파와 다진 김치, 다진 햄을 넣고 볶는다.다진 양파 3큰술, 다진 김치 1/2컵, 다진 햄 3큰술중간 불
4.양념장을 넣고 살짝 더 볶은 뒤 밥을 넣고 고루 간이 배도록 볶아 마무리. Tip – 취향에 따라 달걀프라이와 김가루를 뿌려요.",백전백승! 실패없는 김치볶음밥,김치볶음밥,gdubu33,만개의레시피,366065,1324,6914,볶음,일상,쌀,밥/죽/떡,이 레시피대로만 따라하면 절대! 실패따윈 두려워 하지 않아도 되!  세상의 모든 레시피 만개의레시피,[필수재료] 밥 1공기| 다진 양파 3큰술| 다진 김치 1/2컵| 다진 햄 3큰술 [양념장] 설탕 2/3큰술| 김칫국물 2큰술| 고추장 2/3큰술| 부순 참깨 1큰술| 들기름 또는 참기름 1큰술,1인분,아무나,15분이내,20160706123205
1,6859485,"[조리순서]
1.감자는 손질하여 한입 크기로 썰어 준비한다.감자 2개(360g)감자 손질법 레시피\u200b
2.팬에 식용유를 두르고 감자를 볶는다.
3.감자를 약 30% 익힌 후 간장 5T, 설탕 1T, 물엿 2T, 다진 마늘 1/2T, 물 1cup 를 넣고 조린다.
4.양념이 걸쭉하게 졸여지면 참깨 1/2T, 참기름 1T를 넣고 버무려 완성한다.",매일 먹는 밑반찬 메뉴로 추천!! 감자조림,감자조림,gdubu33,만개의레시피,478527,1102,8221,조림,일상,채소류,밑반찬,만들어두면 마음&배가 든든해지는  달큰 짭잘 감자조림!  세상의 모든 레시피 만개의레시피,[필수재료] 감자 2개(360g)| 물 1cup [양념재료] 간장 5T| 설탕 1T| 물엿 2T| 다진 마늘 1/2T| 참깨 1/2T| 참기름 1T,2인분,아무나,30분이내,20161031112035
2,6846655,"[조리순서]
1.물 한 컵에 돼지고기를 넣고 끓여주세요물 대신 쌀뜨물을 사용하시면 더 좋아요~
2.고기가 익으면 김치도 넣어주세요여기에 김치국물 2~3큰술정도 넣어주시고 간장 1큰술, 고춧가루 1큰술, 다진마늘 반 큰술, 다시다 반 큰술을 넣어주세요
3.양파는 찹찹 썰어서 넣어주세요
4.파도 송송 썰어서 넣어주세요
5.새마을식당 7분김치찌개의 하이라이트!!가위로 잘게 잘라주는 거죠
6.보글보글 좀 더 끓여주시기만 하면 7분김치찌개 완성이에요!!
7.새마을식당 처럼 밥 위에 김치랑 고기랑 김이랑 넣어서 비벼먹음 꿀맛!!",새마을식당 7분김치찌개 만들기,김치찌개,76918586,임루시,218649,1077,7594,끓이기,일상,채소류,찌개,새마을식당 김치찌개 따라잡기,[재료] 김치| 돼지고기(찌개용)| 양파 1/2개| 파 약간 [양념] 김치국물 2~3큰술| 간장 1큰술| 고춧가루 1큰술| 다진마늘 1/2큰술| 다시다 1/2큰술,2인분,아무나,15분이내,20160418201815
3,6841008,"[조리순서]
1.재료는 먹기 좋은 크기도 썰어서 준비해주세요^^
2.고추장 2스푼, 간장 2스푼. 고춧가루 2스푼, 다진마늘 1스푼, 굴소스 1스푼, 올리고당 1스푼 넣어서 양념장을 이렇게 만들어주세요
3.고기가 익어갈때 설탕을 넣고 더 구워주는게 백종원 제육볶음의 포인트^^ 동물성 단백질로 구성된 식재료는 설탕부터 사용해야 단맛을 제대로 낼수 있다고해요 소금부터 넣거나 다른 것부터 간을 해버리면 설탕입자는 들어가지 않아서 고기에 단맛이 안베니까 꼭 설탕부터^^ 2스푼 넣었습니다!!! 기호에 따라 가감하시길
4.손질해둔 야채와 양념장을 넣고 볶아주세요
5.모든 재료가 다 익으면 제육볶음 끝^^",백종원 제육볶음 레시피^^ 백종원의 노하우가 들어있는 손쉬운 레시피 백종원 제육볶음 만들기!!!,제육볶음,only1a2a3a,랑이의보물상자,976200,915,12418,볶음,술안주,돼지고기,메인반찬,백종원의 제육볶음 레시피로 간단하게 밥반찬 또는 야식  술안주 뚝딱 만들어봤습니다^^,[재료] 돼지고기 600g| 양파 1개| 청양고추 2개| 대파 1뿌리 [양념] 설탕 2스푼| 고추장 2스푼| 간장 2스푼| 고춧가루 2스푼| 다진마늘 1스푼| 굴소스 1스푼| 올리고당 1스푼,4인분,아무나,30분이내,20160103095322
4,6857726,"[조리순서]
1.고등어는 내장을 제거하시고 핏물이 남지 않도록 깨끗이 씻어 준비합니다~고등어의 비린내를 제거하기 위해서는 쌀뜨물, 우유, 생강즙 등에 담가두시는 방법도 있답니다^^
2.냄비의 바닥에 무를 잘라 깔아주시고그 위에 깨끗이 씻은 고등어를 올려주세요~무를 바닥에 깔면 고등어 조림을 만들때 고등어가 바닥에 들러붙는 것을 막아줄수 있다고 해요~ㅎ
3.양파는 굵게 채썰고 대파는 길이로 썰어 줍니다~어슷 썬 청양고추와 함께 고등어가 덮힐 정도로 듬뿍 올려주세요~
4.고등어가 반쯤 잠길정도의 물을 붓고설탕 1큰술을 넣어주신 다음다진마늘 1+1/2큰술, 다진생강 1/3큰술을 넣어줍니다~생강이 준비되어있지 않으시면 생강가루를 대신 사용하세요~단맛을 꺼리시는 분들께서는 설탕을 생략하시거나 양을 조절하시는 것이 좋아요ㅎㅎ
5.된장 1/2큰술 또는 1큰술을 넣어주시고요~
6.진간장 1/3컵을 넣어줍니다~고등어조림이 끓기 시작하면 간을 보시고 부족한 간은 진간장으로 맞춰주세요~
7.들기름 2큰술을 넣어주시는 것이 백종원 고등어조림의 비린내잡는 포인트중 하나이네요^^
8.고추가루 2~3큰술을 듬뿍 올려 색을 내줍니다~
9.무를 얇팍하게 썰어 고등어조림 위에 올려뚜껑을 대신해주세요~팔팔 끓기 시작하면 불을 줄이시고 무가 푹 무를수 있도록 20여분 정도 더 졸여줍니다~무 대신 묵은지나 신김치로 덮어주시거나 쿠킹호일로 고등어조림의 가운데 부분을 덮어 가장자리로는 비린내가 빠져나가게하고 가운데 부분은 지긋히 눌러지게 하여 간이 잘 배게 하는 일본식 조리법이랍니다^^중불",비린내 걱정없는 백종원 고등어조림,고등어조림,heeya120608,심술이네집밥이야기,297242,887,10924,조림,일상,해물류,메인반찬,집밥 백선생 시즌 2에서 소개된  비린내 없이 맛있게 만들수 있는 백종원씨의 고등어조림 레시피입니다^^,[재료] 고등어 2마리| 무| 양파| 대파| 청양고추 [양념] 설탕 1큰술| 다진마늘 1+1/2큰술| 다진생강 1/3큰술| 된장 1/2~1큰술| 진간장 1/3컵| 들기름 2큰술| 고추가루 3큰술,4인분,초급,60분이내,20160930162922
5,6860167,"[조리순서]
1.멸치육수를 만든다-> 멸치육수 내는 법 참고육수 재료 멸치 1줌(15마리), 물 6C, 다시마 (10cm X 10cm) 1장, 무 300g, 양파 1/2개 육수를 만들기 번거로울 땐, 만개한알 하세요!~
2.당근, 양파, 애호박은 채 썬다.애호박 1/6개, 당근 1/6개, 양파 1/4개
3.양념장을 만든다.양념재료 : 간장 3T, 고춧가루 1T, 고추 1개, 물 2T, 다진마늘 1/4T, 설탕 1T, 맛술 1T, 부순 참깨 1T, 참기름 약간
4.면은 삶아 준비한다. -> 면 삶는 법 참고소면 1줌(100g)면삶는법
5.멸치 육수에 채 썬 채소를 넣고 끓인다.
6.채소가 익으면 달걀을 풀어 넣는다.달걀 1개
7.삶은 면에 국물을 부어 준 후 양념장을 올려 먹는다.",따땃한 국물과 함께 호로록~ 잔치국수♨,잔치국수,gdubu33,만개의레시피,274375,751,4833,끓이기,일상,밀가루,면/만두,호로록 탱글한 면발 흡입하고 마지막 국물 한 방울까지 원샷하면 속이 따땃♥ 세상의 모든 레시피 만개의레시피,[필수 재료] 소면 1줌(100g)| 애호박 1/6개| 당근 1/6개| 양파 1/4개| 달걀 1개 [육수 재료] 멸치 1줌(15마리)| 물 6C| 다시마 (10cm X 10cm) 1장| 무 300g| 양파 1/2개 [양념장 재료] 간장 3T| 고춧가루 1T| 고추 1개| 물 2T| 다진 마늘 1/4T| 설탕 1T| 맛술 1T| 부순 참깨 1T| 참기름 약간,1인분,아무나,30분이내,20161108115519
6,6837911,"[조리순서]
1.들어갈 채소를 먹기좋게 잘라놓는다.
2.두부도 감자와 비슷한 크기로 썰어두고
3.뚝배기에 준비한 육수를 넣고 감자만 넣어 보글보글 끓여준다.
4.감자를 넣은 육수가 팔팔 끓으면 호박과 양파 , 홍고추를 넣고 다시 끓여준다.
5.채소를 넣은 육수가 다시 팔팔 끓었을 때 , 썰어둔 두부를 넣고 다시 끓이기 -
6.두부를 넣고 다시 끓어오르면 된장을 풀어넣는다.집마다 된장의 염도가 다르니 입맛에 따라 양 조절 필수 :-)
7.된장을 풀어넣고 된장찌개가 끓어오르면 불을 끄고
8.꿀 1티스푼과
9.다진마늘 1/2스푼 , 고춧가루 1/2스푼 , 파를 넣고 섞어준다.
10.생생정보통 황금레시피로 끓여본 된장찌개 완성 !뚝배기에 끓여서 불을 꺼도 한동안 보글보글 먹음직스럽다.",된장찌개 황금레시피 :-),된장찌개,honeyhodduk,달콤한꿀호떡,205740,721,5883,끓이기,일상,채소류,찌개,누구나 좋아하는 한뚝배기   뜨끈뜨끈 보글보글 된장찌개  대충 끓여도 먹을만 하지만 맛있게 끓이기는 생각보다 까다로운 된장찌개  황금레시피 도움받아 맛있게 끓여보기 ★ ,[재료] 멸치육수 500ml| 감자 작은것 2알| 애호박 1/2토막| 양파 1/2토막| 두부 1/2모| 홍고추 2개| 대파 1뿌리 [양념] 된장 1.5스푼| 고춧가루 1/2스푼| 다진마늘 1/2스푼| 꿀 1티스푼,2인분,초급,30분이내,20151110215802
7,6859207,"[조리순서]
1.무와 열무는 깨끗이 손질해 500원 동전 크기로 깍둑썰기 하고 대파는 송송 썰어 준비한다.무 1개, 열무 2뿌리, 대파 10cm 4개
2.볼에 무를 넣고 소금 1/4C , 설탕 1/4C 을 넣어 잘 버무려 약 20분간 절인다.소금 1/4C , 설탕 1/4C절일 때 나온 물은 버리지 않는다.
3.찬밥에 물을 넣고 믹서에 갈아 준비한다.찬밥 2T, 물 1C밀가루와 물을 이용해 풀을 끓여 사용해도 된다.
4.대파와 열무를 절여진 무에 넣는다.
5.갈아놓은 밥을 넣고 준비한 양념을 모두 넣어 섞는다양념 : 꽃소금 1/2T, 멸치액젓 2T, 새우젓 1T, 다진 생강 1/4T, 다진 마늘 2T, 설탕 2T, 고운 고춧가루 1/2C , 고춧가루 1/2C액젓은 멸치, 까나리 원하는 것을 사용하면 된다.
6.완성된 깍두기는 김치통에 꼭꼭 눌러 담아 실온에서 하루 숙성한 후 냉장고에 보관한다.깍두기는 통에 넣을 때 공기층 없이 꼭꼭 눌러 담아야 숙성이 잘 된다.",깍둑깍둑 깍두기 황금레시피 공개! 집밥백선생 깍두기,깍두기,gdubu33,만개의레시피,337976,708,4576,무침,일상,채소류,김치/젓갈/장류,백선생이 알려주는 깍두기 레시피!! 잘 익은 깍두기 하나면 다른 반찬 필요없죠♥ 세상의 모든 레시피 만개의레시피,[필수재료] 무 1개(1.5kg)| 소금 1/4C| 설탕 1/4C| 대파(10cm) 4개| 열무 2뿌리| 밥 2T| 물 1C [양념재료] 꽃소금 1/2T| 멸치액젓 2T| 새우젓 1T| 다진 생강 1/4T| 다진마늘 2T| 설탕 2T| 고운 고춧가루 1/2C| 고춧가루 1/2C,6인분이상,아무나,30분이내,20161026115208
8,6859865,"[조리순서]
1.꼬막은 소금 1/4cup을 넣고 검은 봉지를 씌우거나 쿠킹 호일로 감싸 약 30분 이상 해감 한다.꼬막 600g, 소금 1/4cup
2.해감 한 꼬막은 깨끗한 물에 비벼가며 씻는다.
3.볼에 분량의 양념재료를 넣고 양념장을 만든다.양념재료 : 간장 3T, 고춧가루 1T, 설탕 1/2T, 다진 마늘 1/2T, 다진 파 1T, 참기름 1/2T, 부순 참깨 1/2T, 다진 청량고추 1T볼
4.끓는 물에 깨끗이 손질한 꼬막을 넣고 청주 2T를 넣어 한쪽 방향으로 저어 가며 꼬막이 입을 벌리기 시작 하면 바로 불을 끄고 체에 건져 놓는다.청주 2T
5.잘 익은 꼬막은 뚜껑만 떼어 준비한다.입을 벌리지 않은 꼬막은 뒤쪽 부분을 숟가락으로 살짝 돌리면 잘 뜯어진다.
6.뚜껑을 딴 꼬막에 양념장을 조금씩 올려 완성한다.",팔에 모터달고 젓가락질 해야돼!! 양념 꼬막찜★,꼬막찜,gdubu33,만개의레시피,100448,651,3121,찜,일상,해물류,메인반찬,드라마 보다 침 흘렸던 산더미같은 꼬막찜!! 부러워하지만 말고 집에서 맘껏 즐겨봐요 세상의 모든 레시피 만개의레시피,[필수재료] 꼬막 800g| 굵은소금 1/4cup| 청주 2T [양념재료] 간장 3T| 고춧가루 1T| 설탕 1/2T| 다진 마늘 1/2T| 다진 대파 1T| 참기름 1/2T| 부순 참깨 1/2T [선택재료] 다진 청양고추 1T,3인분,아무나,30분이내,20161104152820
9,6860961,"[조리순서]
1.멸치는 체에 넣어 가루를 털어낸다.잔멸치 100g
2.볼에 고추장 2T, 올리고당 2T, 맛술 2T를 넣어 잘 섞는다.
3.팬에 식용유를 두르고 멸치를 볶다가 편 마늘과 청양고추를 넣어 볶는다.마늘 5톨, 청양고추 2개
4.모든 재료가 볶아지면 약불로 줄이고 양념장을 넣어 재빨리 섞은 후 불을 끄고 참기름 1T, 참깨 1T 를 넣고 잘 섞어 완성한다.약불",칼슘보충엔 이게 최고지!! 국민반찬 매콤멸치볶음,멸치볶음,gdubu33,만개의레시피,197545,647,4261,볶음,일상,건어물류,밑반찬,추워서 뼈가 시리다구??? 멸치볶음으로 칼슘 보충해서 뼈튼튼이 되자!! 세상의 모든 레시피 만개의레시피,[필수 재료] 잔멸치 100g| 마늘 5톨| 청양고추 2개 [양념 재료] 고추장 2T| 올리고당 2T| 맛술 2T| 참기름 1T| 참깨 1T,6인분이상,아무나,30분이내,20161117122207
