요리명,요리재료내용,필수재료
김치볶음밥,[필수재료] 밥 1공기| 다진 양파 3큰술| 다진 김치 1/2컵| 다진 햄 3큰술 [양념장] 설탕 2/3큰술| 김칫국물 2큰술| 고추장 2/3큰술| 부순 참깨 1큰술| 들기름 또는 참기름 1큰술,"밥,다진양파,다진김치,다진햄"
감자조림,[필수재료] 감자 2개(360g)| 물 1cup [양념재료] 간장 5T| 설탕 1T| 물엿 2T| 다진 마늘 1/2T| 참깨 1/2T| 참기름 1T,"감자,물"
김치찌개,[재료] 김치| 돼지고기(찌개용)| 양파 1/2개| 파 약간 [양념] 김치국물 2~3큰술| 간장 1큰술| 고춧가루 1큰술| 다진마늘 1/2큰술| 다시다 1/2큰술,"김치,돼지고기,양파,파"
제육볶음,[재료] 돼지고기 600g| 양파 1개| 청양고추 2개| 대파 1뿌리 [양념] 설탕 2스푼| 고추장 2스푼| 간장 2스푼| 고춧가루 2스푼| 다진마늘 1스푼| 굴소스 1스푼| 올리고당 1스푼,"돼지고기,양파,청양고추,대파"
고등어조림,[재료] 고등어 2마리| 무| 양파| 대파| 청양고추 [양념] 설탕 1큰술| 다진마늘 1+1/2큰술| 다진생강 1/3큰술| 된장 1/2~1큰술| 진간장 1/3컵| 들기름 2큰술| 고추가루 3큰술,"고등어,무,양파,대파,청양고추"
잔치국수,[필수 재료] 소면 1줌(100g)| 애호박 1/6개| 당근 1/6개| 양파 1/4개| 달걀 1개 [육수 재료] 멸치 1줌(15마리)| 물 6C| 다시마 (10cm X 10cm) 1장| 무 300g| 양파 1/2개 [양념장 재료] 간장 3T| 고춧가루 1T| 고추 1개| 물 2T| 다진 마늘 1/4T| 설탕 1T| 맛술 1T| 부순 참깨 1T| 참기름 약간,"소면,애호박,당근,양파,달걀,물,다시마,무,양파,고춧가루,고추,물,다진마늘,설탕,맛술,부순참깨,참기름"
된장찌개,[재료] 멸치육수 500ml| 감자 작은것 2알| 애호박 1/2토막| 양파 1/2토막| 두부 1/2모| 홍고추 2개| 대파 1뿌리 [양념] 된장 1.5스푼| 고춧가루 1/2스푼| 다진마늘 1/2스푼| 꿀 1티스푼,"멸치육수,감자,애호박,양파,두부,홍고추,대파"
깍두기,[필수재료] 무 1개(1.5kg)| 소금 1/4C| 설탕 1/4C| 대파(10cm) 4개| 열무 2뿌리| 밥 2T| 물 1C [양념재료] 꽃소금 1/2T| 멸치액젓 2T| 새우젓 1T| 다진 생강 1/4T| 다진마늘 2T| 설탕 2T| 고운 고춧가루 1/2C| 고춧가루 1/2C,"무,소금,설탕,대파,열무,밥,물"
꼬막찜,[필수재료] 꼬막 800g| 굵은소금 1/4cup| 청주 2T [양념재료] 간장 3T| 고춧가루 1T| 설탕 1/2T| 다진 마늘 1/2T| 다진 대파 1T| 참기름 1/2T| 부순 참깨 1/2T [선택재료] 다진 청양고추 1T,"꼬막,굵은소금,청주"
멸치볶음,[필수 재료] 잔멸치 100g| 마늘 5톨| 청양고추 2개 [양념 재료] 고추장 2T| 올리고당 2T| 맛술 2T| 참기름 1T| 참깨 1T,"잔멸치,마늘,청양고추,올리고당,맛술,참기름,참깨"
닭볶음탕,[재료] 닭(닭볶음용)| 감자| 양파| 당근| 대파 [양념] 고추장 3큰술| 고춧가루 4큰술| 간장 3큰술| 물엿 2큰술| 맛술 3큰술| 다진 마늘 1큰술| 설탕 1큰술| 후추,"닭,감자,양파,당근,대파"
불고기,[불고기소스재료] 간장 2컵| 물 2컵| 설탕 1컵| 후추 1ts| 마늘 1/4컵| 양파 1컵| 배 2/3컵 [불고기라이스] 불고기감 150g| 밥 1공기| 불고기소스 1국자| 양파 1/3개| 당근 1/2줌| 대파 1/3뿌리| 고수(또는 녹색채소) 1/2줌| 양상추 1/2줌 [불고기누들] 불고기감 150g| 당면 1줌| 불고기소스 1국자| 양파 1/2| 당근 1/2줌| 대파 1/3뿌리| 고수 약간 [불고기버거] 바게트빵 1/4개| 불고기감 100g| 불고기소스 2/3국자| 양파 1/2개| 당근 1/2줌| 대파 1/3뿌리| 모짜렐라치즈 1줌| 고수 약간| 양상추 약간,"간장,물,설탕,후추,마늘,양파,배,밥,불고기소스,양파,당근,대파,고수,양상추,당면,불고기소스,양파,당근,대파,고수바게트빵,불고기감,불고기소스,양파,당근,대파,모짜렐라치즈,고수,양상추"
떡꼬치,[필수재료] 떡볶이 떡 300g| 꼬치 [양념재료] 간장 1/2T| 고추장 1T| 올리고당 3T| 다진 마늘 1/2T| 케찹 3T| 물 1T [선택재료] 다진 땅콩 1T,"떡볶이떡,꼬치"
떡꼬치,[재료] 떡볶이떡 [양념] 고추장 1T| 설탕 1/2T| 다진마늘 1/2T| 진간장 1/2T| 올리고당 2T| 케찹 3T| 통깨 팍팍,떡볶이떡
메추리알장조림,[재료] 깐메추리알 1kg| 청양고추 3개 [양념] 간장 1컵| 물 3컵| 매실액 1/4컵(생략가능)| 설탕 4스푼| 다진마늘(통마늘가능) 1스푼,"깐메추리알,청양고추"
닭볶음탕,[재료] 닭(닭도리탕용) 1마리| 양파 1개| 대파 1뿌리| 청양고추 2~3개| 감자 큰거2개 [양념] 고추장 3큰술듬뿍| 고춧가루 4큰술| 진간장 3큰술| 다진마늘 2큰술| 소주 약간| 굴소스 2큰술| 설탕 1/2큰술| 물엿 2큰술| 후추 약간| 참기름 1/2큰술 (마지막에),"닭,양파,대파,청양고추,감자"
된장찌개,[재료] 느타리버섯 1줌| 양파 1/2개| 애호박 1/4개| 청양고추 2개| 두부 1/4모| 물 1.5종이컵 [양념] 된장 2T| 진간장 1T| 고추가루 1.5T| 다진마늘 0.5T| 설탕 0.5티스푼| 소금 마지막간,"느타리버섯,양파,애호박,청양고추,두부,물"
닭볶음탕,[재료] 닭(볶음탕용) 1마리| 감자 2개| 양파 1개| 대파 1줌| 다시마물 600ml [양념] 고추장 4T| 간마늘 1T| 간양파 3T| 고춧가루 2T| 물엿6T| 간장 9T| 청주 1T| 후추 약간,"닭,감자,양파,대파,다시마물"
순두부찌개,[재료] 순두부 1봉| 돼지고기간거 2큰술| 물 1컵 [양념] 고춧가루 2큰술| 다진마늘 1큰술| 간장 1/2술| 물 1큰술| 굵은소금 1/2술| 달걀 1개| 참기름 2/3술| 파 약간,"순두부,돼지고기간거,물"
어묵볶음,[필수재료] 어묵 250g| 양파 1/2개| 대파 10cm 1대| 청양고추 1/2개| 홍고추 1/2개 [양념재료] 다진마늘 1T| 물 1/2cup| 설탕 1T| 간장 3T| 고춧가루 1T| 참기름 1/2T| 참깨 1/2T,"어묵,양파,대파,청양고추,홍고추"
미역줄기볶음,[재료] 미역줄기 300g| 양파 0.5개| 당근 약간| 식용유 2T [양념] 맛술 2T| 맛소금 2티스푼| 간장 0.5T| 다진마늘 0.5T| 참기름 1T| 깨 약간,"미역줄기,양파,당근,식용유"
김치찌개,[재료] 쌀뜨물 700ml(종이컵 5컵)| 대파 1/2개| 청양고추 1개 [고기와김치의비율(3:1)] 돼기고기목살or삼겹살| 김치 3줌 [양념] 국간장 1T| 고춧가루 1/2T| 다진 마늘 1/2T| 새우젓 1/2T| 된장 1/2T,"쌀뜨물,대파,청양고추,김치"
떡볶이,[재료] 떡볶이떡 2컵| 파 1/2종이컵 [양념] 고춧가루 1+1/2T| 고추장 1T| 설탕 3T| 간장 2+1/2T,"떡볶이떡,파"
